Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:23.101,"urn:cite:hmt:vaimg.VA292VN-0794@0.219,0.4989,0.207,0.0826",urn:cite:hmt:msA.292v
urn:cts:greekLit:tlg5026.msA.hmt:23.1601,"urn:cite:hmt:vaimg.VA300RN-0470@0.1872,0.1044,0.6396,0.1007",urn:cite:hmt:msA.300r 
urn:cts:greekLit:tlg5026.msA.hmt:23.1602,"urn:cite:hmt:vaimg.VA300RN-0470@0.6196,0.5545,0.1912,0.0331", urn:cite:hmt:msA.300r
urn:cts:greekLit:tlg5026.msA.hmt:23.1603, "urn:cite:hmt:vaimg.VA300RN-0470@0.6106,0.5815,0.1952,0.148", urn:cite:hmt:msA.300r
urn:cts:greekLit:tlg5026.msA.hmt:23.1901,"urn:cite:hmt:vaimg.VA301VN-0803@0.213,0.3636,0.241,0.0691", urn:cite:hmt:msA.301v
urn:cts:greekLit:tlg5026.msA.hmt:23.1902,"urn:cite:hmt:vaimg.VA301VN-0803@0.221,0.6394,0.241,0.0571",urn:cite:hmt:msA.301v
urn:cts:greekLit:tlg5026.msA.hmt:23.1903,"urn:cite:hmt:vaimg.VA301VN-0803@0.221,0.6394,0.241,0.0571",urn:cite:hmt:msA.301v
urn:cts:greekLit:tlg5026.msA.hmt:23.2001, "urn:cite:hmt:vaimg.VA302RN-0472@0.216,0.0999,0.587,0.0323",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt:23.2002,"urn:cite:hmt:vaimg.VA302RN-0472@0.217,0.121,0.515,0.027",urn:cite:hmt:msA.302r 
urn:cts:greekLit:tlg5026.msA.hmt:23.2003,"urn:cite:hmt:vaimg.VA302RN-0472@0.214,0.1375,0.616,0.0316",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt:23.102,"urn:cite:hmt:vaimg.VA292VN-0794@0.218,0.5755,0.212,0.0609",urn:cite:hmt:msA.292v
urn:cts:greekLit:tlg5026.msA.hmt:23.103,"urn:cite:hmt:vaimg.VA292VN-0794@0.218,0.6289,0.208,0.0338",urn:cite:hmt:msA.292v
urn:cts:greekLit:tlg5026.msA.hmt:23.104,"urn:cite:hmt:vaimg.VA292VN-0794@0.211,0.6446,0.214,0.0639",urn:cite:hmt:msA.292v
urn:cts:greekLit:tlg5026.msA.hmt:23.2004,"urn:cite:hmt:vaimg.VA302RN-0472@0.215,0.1458,0.479,0.0248",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt:23.2005,"urn:cite:hmt:vaimg.VA302RN-0472@0.622,0.4756,0.216,0.0902",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt:23.2006,"urn:cite:hmt:vaimg.VA302RN-0472@0.619,0.5522,0.224,0.1127",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt:23.2007,"urn:cite:hmt:vaimg.VA302RN-0472@0.605,0.6551,0.226,0.0751",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt:23.2008,"urn:cite:hmt:vaimg.VA302RN-0472@0.183,0.7145,0.646,0.0391",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt:23.2009,"urn:cite:hmt:vaimg.VA302RN-0472@0.184,0.7355,0.646,0.0293",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt.23.2010,"urn:cite:hmt:vaimg.VA302RN-0472@0.179,0.7528,0.545,0.0285",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msA.hmt.23.2101,"urn:cite:hmt:vaimg.VA302VN-0804@0.211,0.2825,0.213,0.0721",urn:cite:hmt:msA.302v
urn:cts:greekLit:tlg5026.msA.hmt.23.2102,"urn:cite:hmt:vaimg.VA302VN-0804@0.219,0.3449,0.211,0.0481",urn:cite:hmt:msA.302v
urn:cts:greekLit:tlg5026.msA.hmt.23.2103,"urn:cite:hmt:vaimg.VA302VN-0804@0.216,0.3794,0.219,0.0353",urn:cite:hmt:msA.302v
urn:cts:greekLit:tlg5026.msA.hmt.23.2201,"urn:cite:hmt:vaimg.VA303RN-0473@0.209,0.1014,0.612,0.0466",urn:cite:hmt:msA.303r
urn:cts:greekLit:tlg5026.msA.hmt.23.2202,"urn:cite:hmt:vaimg.VA303RN-0473@0.22,0.1255,0.605,0.0466",urn:cite:hmt:msA.303r
urn:cts:greekLit:tlg5026.msA.hmt.23.2203,"urn:cite:hmt:vaimg.VA303RN-0473@0.629,0.5116,0.19,0.0639",urn:cite:hmt:msA.303r
urn:cts:greekLit:tlg5026.msA.hmt.23.2204,"urn:cite:hmt:vaimg.VA303RN-0473@0.631,0.5635,0.195,0.0992",urn:cite:hmt:msA.303r
urn:cts:greekLit:tlg5026.msA.hmt.23.2205,"urn:cite:hmt:vaimg.VA303RN-0473@0.63,0.6521,0.207,0.0856",urn:cite:hmt:msA.303r
urn:cts:greekLit:tlg5026.msA.hmt.23.2301, "urn:cite:hmt:vaimg.VA303VN-0805@0.227,0.1277,0.675,0.0826",urn:cite:hmt:msA.303v
urn:cts:greekLit:tlg5026.msA.hmt.23.2302,"urn:cite:hmt:vaimg.VA303VN-0805@0.223,0.1916,0.686,0.0458", urn:cite:hmt:msA.303v
urn:cts:greekLit:tlg5026.msA.hmt.23.2303,"urn:cite:hmt:vaimg.VA303VN-0805@0.226,0.5995,0.202,0.0714",urn:cite:hmt:msA.303v
urn:cts:greekLit:tlg5026.msA.hmt.23.2401,"urn:cite:hmt:vaimg.VA304RN-0474@0.216,0.1074,0.495,0.0233",urn:cite:hmt:msA.304r
urn:cts:greekLit:tlg5026.msA.hmt.23.2402,"urn:cite:hmt:vaimg.VA304RN-0474@0.214,0.1172,0.617,0.0413",urn:cite:hmt:msA.304r
urn:cts:greekLit:tlg5026.msA.hmt.23.2403,"urn:cite:hmt:vaimg.VA304RN-0474@0.212,0.133,0.623,0.0579",urn:cite:hmt:msA.304r
urn:cts:greekLit:tlg5026.msA.hmt.23.2404,"urn:cite:hmt:vaimg.VA304RN-0474@0.627,0.5169,0.212,0.0796",urn:cite:hmt:msA.304r
urn:cts:greekLit:tlg5026.msA.hmt.23.2405,"urn:cite:hmt:vaimg.VA304RN-0474@0.627,0.5785,0.212,0.0511",urn:cite:hmt:msA.304r
urn:cts:greekLit:tlg5026.msA.hmt.23.2406,"urn:cite:hmt:vaimg.VA304RN-0474@0.636,0.6153,0.212,0.0699",urn:cite:hmt:msA.304r
urn:cts:greekLit:tlg5026.msA.hmt.23.2501,"urn:cite:hmt:vaimg.VA304VN-0806@0.215,0.3929,0.235,0.0488",urn:cite:hmt:msA.304v
urn:cts:greekLit:tlg5026.msA.hmt.23.2502,"urn:cite:hmt:vaimg.VA304VN-0806@0.216,0.4365,0.221,0.0639",urn:cite:hmt:msA.304v
urn:cts:greekLit:tlg5026.msA.hmt.23.2503,"urn:cite:hmt:vaimg.VA304VN-0806@0.216,0.4951,0.208,0.0285",urn:cite:hmt:msA.304v
urn:cts:greekLit:tlg5026.msA.hmt.23.2504,"urn:cite:hmt:vaimg.VA304VN-0806@0.203,0.5177,0.226,0.0969",urn:cite:hmt:msA.304v
urn:cts:greekLit:tlg5026.msA.hmt.23.2601,"urn:cite:hmt:vaimg.VA305RN-0475@0.63,0.3449,0.212,0.1668",urn:cite:hmt:msA.305r
urn:cts:greekLit:tlg5026.msA.hmt.23.2602,"urn:cite:hmt:vaimg.VA305RN-0475@0.632,0.4944,0.197,0.0684",urn:cite:hmt:msA.305r
urn:cts:greekLit:tlg5026.msA.hmt.23.2603,"urn:cite:hmt:vaimg.VA305RN-0475@0.622,0.5522,0.212,0.0684",urn:cite:hmt:msA.305r
urn:cts:greekLit:tlg5026.msA.hmt.23.2604,"urn:cite:hmt:vaimg.VA305RN-0475@0.622,0.6071,0.247,0.0796",urn:cite:hmt:msA.305r 
urn:cts:greekLit:tlg5026.msA.hmt.23.2605,"urn:cite:hmt:vaimg.VA305RN-0475@0.627,0.6814,0.22,0.0428", urn:cite:hmt:msA.305r
urn:cts:greekLit:tlg5026.msA.hmt.23.2701,"urn:cite:hmt:vaimg.VA305VN-0807@0.231,0.1382,0.441,0.0165",urn:cite:hmt:msA.305v
urn:cts:greekLit:tlg5026.msA.hmt.23.2702,"urn:cite:hmt:vaimg.VA305VN-0807@0.235,0.136,0.676,0.0346",urn:cite:hmt:msA.305v
urn:cts:greekLit:tlg5026.msA.hmt.23.2703,"urn:cite:hmt:vaimg.VA305VN-0807@0.208,0.1473,0.714,0.269",urn:cite:hmt:msA.305v
